ck_name,scryfall_set_name
Mystery Booster/The List,The List
3rd Edition,Revised Edition
4th Edition,Fourth Edition
5th Edition,Fifth Edition
6th Edition,Classic Sixth Edition
7th Edition,Seventh Edition
8th Edition,Eighth Edition
9th Edition,Ninth Edition
10th Edition,Tenth Edition
Alpha,Limited Edition Alpha
Beta,Limited Edition Beta
Collectors Ed,Collectors' Edition
Collectors Ed Intl,Intl. Collectors' Edition
Deckmaster,Deckmasters
Beatdown,Beatdown Box Set
Battle Royale,Battle Royale Box Set
Archenemy - Nicol Bolas,Archenemy: Nicol Bolas
Conspiracy - Take the Crown,Conspiracy: Take the Crown
Commander Anthology Vol. II,Commander Anthology Volume II
Double Masters Box Toppers,Ultimate Box Topper
Duel Decks: Anthology,Commander Anthology
Edge of Eternities Stellar Sights,Edge of Eternities: Stellar Sights
Avatar: The Last Airbender Eternal-Legal,Avatar: The Last Airbender Eternal
Final Fantasy Through the Ages,Final Fantasy: Through the Ages
Guilds of Ravnica: Guild Kits,GRN Guild Kit
Secret Lair,Secret Lair Drop
Promo Pack,
Promotional,
Adventures in the Forgotten Realms Commander,Forgotten Realms Commander
Innistrad: Crimson Vow Commander,Crimson Vow Commander
Innistrad: Midnight Hunt Commander,Midnight Hunt Commander
Bloomburrow Commander Decks,Bloomburrow Commander
Bloomburrow Commander,Bloomburrow Commander
Dominaria United Commander,Dominaria United Commander
Edge of Eternities Commander,Edge of Eternities Commander
Aetherdrift Commander,Aetherdrift Commander
Duskmourn: House of Horror Commander Decks,Duskmourn: House of Horror Commander
Duskmourn: House of Horror Commander,Duskmourn: House of Horror Commander
Final Fantasy Commander Decks,Final Fantasy Commander
Final Fantasy Commander,Final Fantasy Commander
Foundations Commander,Foundations Commander
"Universes Beyond: Warhammer 40,000","Warhammer 40,000 Commander"
Universes Beyond: Fallout,Fallout
Universes Beyond: Doctor Who,Doctor Who
Universes Beyond: Assassin's Creed,Assassin's Creed
Universes Beyond: Transformers,Transformers
Universes Beyond: Jurassic World Collection,Jurassic World Collection
Secret Lair Drop,Secret Lair Drop
Adventures in the Forgotten Realms Commander Decks,Forgotten Realms Commander
Innistrad: Crimson Vow Commander Decks,Crimson Vow Commander
Innistrad: Midnight Hunt Commander Decks,Midnight Hunt Commander
Dominaria United Commander Decks,Dominaria United Commander
Edge of Eternities Commander Decks,Edge of Eternities Commander
Aetherdrift Commander Decks,Aetherdrift Commander
Duskmourn: House of Horror Commander Decks,Duskmourn: House of Horror Commander
Tarkir: Dragonstorm Commander Decks,Tarkir: Dragonstorm Commander
Outlaws of Thunder Junction Commander Decks,Outlaws of Thunder Junction Commander
March of the Machine Commander Decks,March of the Machine Commander
Phyrexia: All Will Be One Commander Decks,Phyrexia: All Will Be One Commander
The Brothers' War Commander Decks,The Brothers' War Commander
Streets of New Capenna Commander Decks,Streets of New Capenna Commander
Kamigawa: Neon Dynasty Commander Decks,Kamigawa: Neon Dynasty Commander
Commander Masters Commander Decks,Commander Masters
